漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
入,,い いり しお,,#その他,1,0
丁,,あつ あつし たけ たけし よろぼう,#品格,#品格,0,0
上,,あが あがり たか たかし のぼ のぼる,#品格 #飛躍,#品格 #飛躍,0,0
川,,かわ,#水景,#水景,0,0
土,,つち はに ひじ,#自然,#自然,0,0
必,,さだ ひさ,#信念,#信念,0,0
兆,,とき よし,#希望 #飛躍,#希望 #飛躍,0,0
改,,あらた,#信念,#信念,0,0
犬,,いぬ,,#その他,1,0
手,,た て,,#その他,1,0
中,,あたる なか みつ,#調和,#調和,0,0
郞,,いら お すけ,#調和,#調和,0,0
戸,,と,#調和,#調和,0,0
切,,きり,,#その他,1,0
内,,うち,#調和,#調和,0,0
父,,たか のり,,#その他,1,0
方,,かた まさ みち,#信念 #品格,#信念 #品格,0,0
氏,,うじ,,#その他,1,0
固,,かた まこと,#信念 #品格,#信念 #品格,0,0
樫,,かし,#自然,#自然,0,0
檜,,ひのき,#自然,#自然,0,0
西,,あき にし,#調和,#調和,0,0
身,,み,#勇壮,#勇壮,0,0
本,,もと,#自然,#自然,0,0
兄,,あに せ,,#その他,1,0
芦,,あし よし,#自然,#自然,0,0
畠,,はた はたけ,#調和,#調和,0,0
船,,ふね,#調和,#調和,0,0
舵,,かじ,#調和,#調和,0,0
氷,,きよ ひ,#自然 #水景,#自然 #水景,0,0
扉,,とびら,#調和,#調和,0,0
煉,,ねる,#調和,#調和,0,0
滴,,しずく,#調和,#調和,0,0
融,,あきら とおる,#調和,#調和,0,0
辺,,あたり べ なべ,#自然,#自然,0,0
条,,えだ,#知性,#知性,0,0
荻,,おぎ,#自然,#自然,0,0
幼,,おさ わか,#慈愛,#慈愛,0,0
占,,うら,#知性,#知性,1,0
巳,,み,#調和,#調和,0,0
今,,いま,#希望,#希望,0,0
汀,,なぎさ,#水景 #自然,#水景 #自然,0,0
丑,,うし,#伝統,#伝統,0,0
田,,た,#自然,#自然,0,0
池,,いけ,#自然 #水景,#自然 #水景,0,0
式,,のり,#伝統,#伝統,0,0
州,,くに,#水景,#水景,0,0
全,,あきら たけ たけし まさ,#調和 #飛躍,#調和 #飛躍,0,0
羊,,ひつじ,#自然 #幸福,#自然 #幸福,0,0
米,,こめ よね,#自然,#自然,0,0
伝,,つた つとう,#伝統,#伝統,0,0
灯,,とも,#色彩 #希望,#色彩 #希望,0,0
旨,,むね,#調和,#調和,0,0
亥,,い,#調和,#調和,0,0
存,,あり なが まさ,#慈愛,#慈愛,0,0
住,,ずみ,#調和,#調和,0,0
仰,,あきら たかし,#品格,#品格,0,0
芝,,しば,#自然 #幸福,#自然 #幸福,0,0
往,,みち ゆき,#調和,#調和,0,0
帆,,ほ,#勇壮 #水景,#勇壮 #水景,0,0
朴,,なお ほう,#自然,#自然,0,0
赤,,あか,#色彩,#色彩,0,0
近,,ちか,#信念,#信念,0,0
垣,,かき,#調和,#調和,0,0
声,,こえ,#品格,#品格,0,0
畝,,せ,#調和,#調和,1,0
峨,,たかし,#調和,#調和,0,0
啄,,たむ,#調和,#調和,0,0
沢,,さわ,#慈愛 #水景,#慈愛 #水景,0,0
伴,,とも,#調和,#調和,0,0
杉,,すぎ,#自然,#自然,0,0
伯,,たか のり,#品格,#品格,0,0
杏,,あん,#自然,#自然,0,0
舷,,とおる,#水景,#水景,0,0
猪,,い いの,,#その他,1,0
杜,,もり,#自然,#自然,0,0
壯,,さかん たけ たけし まさ,#勇壮 #飛躍,#勇壮 #飛躍,0,0
步,,あゆみ あゆむ,#飛躍,#飛躍,0,0
岩,,いわ,#自然,#自然,0,0
猪,,い いの,,#その他,1,0
易,,やす,#慈愛,#慈愛,0,0
河,,かわ,#水景,#水景,0,0
慣,,なれ,,#その他,1,0
窓,,まど,#調和,#調和,1,0
岡,,おか,#自然,#自然,0,0
及,,いたる つぎ つぐ,,#その他,1,0
火,,ひ ほ,#調和,#調和,0,0
引,,ひき,#調和,#調和,0,0
末,,すえ,#調和,#調和,0,0
処,,すみ なり,,#その他,1,0
朋,,とも,#知性 #調和,#知性 #調和,0,0
亞,,つぐ,#調和,#調和,0,0
兒,,こ,,#その他,1,0
角,,すみ,#調和,#調和,0,0
麦,,むぎ,#自然 #調和,#自然 #調和,0,0
豆,,まめ,#調和,#調和,0,0
神,,かみ こう しん,#信念 #品格,#信念 #品格,0,0
柱,,はしら,#自然 #信念,#自然 #信念,0,0
度,,のり わたる,#品格,#品格,0,0
品,,しな,#品格 #知性,#品格 #知性,0,0
封,,くに しげ,#調和,#調和,0,0
納,,おさむ のり,#調和,#調和,0,0
珍,,うず たか,#信念 #慈愛,#信念 #慈愛,0,0
堤,,つつみ,,#その他,1,0
盟,,あきら,#信念 #調和,#信念 #調和,0,0
熊,,くま,#勇壮,#勇壮,0,0
鮎,,あゆ,#自然,#自然,0,0
洪,,ひろ ひろし,#品格 #水景,#品格 #水景,0,0
叙,,つぐ のぶ,#知性,#知性,0,0
浄,,きよ きよし しず,#水景,#水景,0,0
勅,,みよし とき,#品格,#品格,0,0
柿,,かき,#自然,#自然,0,0
侶,,とも,#調和,#調和,0,0
思,,おもい し,#信念,#信念,0,0
娃,,あい,#色彩,#色彩,0,0
祢,,ね,#品格,#品格,1,0
柏,,かしわ,#自然,#自然,0,0
耶,,や,#調和,#調和,0,0
柚,,ゆ ゆず,#自然 #色彩,#自然 #色彩,0,0
恆,,つね ひさ,,#その他,1,0
勉,,つとむ,#飛躍,#飛躍,0,0
形,,なり,#調和,#調和,0,0
家,,いえ,#知性,#知性,0,0
夏,,なつ,#自然 #希望,#自然 #希望,0,0
宮,,みや,#品格,#品格,0,0
根,,ね,#幸福,#幸福,0,0
庭,,にわ,#自然 #調和,#自然 #調和,0,0
島,,しま,#水景,#水景,0,0
倉,,くら,#品格,#品格,0,0
孫,,まご,#自然,#自然,1,0
桃,,もも,#自然,#自然,0,0
浜,,はま,#水景 #自然,#水景 #自然,0,0
桑,,くわ,#自然,#自然,0,0
姫,,ひめ,#品格 #色彩,#品格 #色彩,0,0
宰,,つかさ,#品格,#品格,0,0
浦,,うら,#水景,#水景,0,0
従,,より,,#その他,1,0
桧,,ひ ひのき,#自然,#自然,0,0
矩,,かね つね のり,#品格,#品格,0,0
柴,,しば,#自然,#自然,1,0
栖,,すみ すむ,#飛躍,#飛躍,0,0
秦,,はた やす,#伝統,#伝統,0,0
悌,,とも やす やすし よし,#慈愛 #調和,#慈愛 #調和,0,0
栗,,くり,#自然,#自然,0,0
凌,,しのぐ たか りょう,#飛躍,#飛躍,0,0
莉,,まり,#自然,#自然,0,0
凉,,すずし,#信念 #慈愛,#信念 #慈愛,0,0
神,,かみ こう しん,,#その他,1,0
海,,あま うみ かい ひろ ひろし み,#水景,#水景,0,0
祐,,さち すけ たすく よし,#慈愛,#慈愛,0,0
祝,,いわい はじめ のり,,#その他,1,0
俱,,とも,#調和,#調和,0,0
涉,,わたる,,#その他,1,0
救,,たすく,#慈愛,#慈愛,0,0
菜,,な,#自然,#自然,0,0
唱,,となえ,#調和,#調和,0,0
授,,さざぐ,#調和,#調和,0,0
得,,あり なり,#知性,#知性,0,0
淡,,あわし,#調和,#調和,0,0
術,,みち,#知性,#知性,1,0
情,,あつ さね もと,#信念,#信念,0,0
彫,,えみ ほる,#調和,#調和,1,0
済,,さだ すみ なり なる ます わたる,#慈愛 #水景,#慈愛 #水景,0,0
推,,すすむ,#知性,#知性,1,0
旋,,めぐる,#調和,#調和,0,0
釈,,とき,#慈愛,#慈愛,0,0
釧,,くしろ,,#その他,1,0
梯,,かけ かけはし,#調和,#調和,0,0
紺,,こん,#水景 #色彩,#水景 #色彩,0,0
陵,,おか たか,#勇壮,#勇壮,0,0
象,,かた きさ たか,#調和,#調和,0,0
備,,そなう みつ,#調和,#調和,0,0
揮,,あきら,#飛躍,#飛躍,0,0
渓,,けい たに,#水景,#水景,0,0
崎,,さき,#水景,#水景,0,0
庶,,もる もろ,#飛躍,#飛躍,1,0
眺,,ながむ,#自然,#自然,1,0
培,,ます,#自然,#自然,0,0
堀,,ほり,,#その他,1,0
埼,,さき,#水景,#水景,0,0
鹿,,か しか,#勇壮,#勇壮,0,0
庵,,い いおり,#品格 #自然,#品格 #自然,0,0
菅,,すが,#自然,#自然,0,0
遍,,あまね あまねし,#調和,#調和,0,0
笹,,ささ,#自然,#自然,0,0
椎,,しい,#調和,#調和,0,0
雫,,しずく,#水景 #自然,#水景 #自然,0,0
淀,,よど,,#その他,1,0
兜,,かぶと,#勇壮,#勇壮,0,0
畢,,あきら,#幸福,#幸福,1,0
琉,,りゅう る,#色彩,#色彩,0,0
彗,,あきら さと すい,#希望 #飛躍,#希望 #飛躍,0,0
毬,,まり,#色彩,#色彩,0,0
梛,,なぎ,#自然,#自然,0,0
笙,,しょう,#調和,#調和,0,0
絆,,きずな,#調和,#調和,0,0
冨,,とみ とむ,#飛躍,#飛躍,0,0
國,,くに,#伝統 #品格,#伝統 #品格,0,0
絵,,かい,#色彩,#色彩,0,0
港,,みなと,#水景,#水景,0,0
著,,あき あきら しげ つぐ,,#その他,1,0
視,,み みる,,#その他,1,0
植,,しげる たね なお まき,#自然,#自然,0,0
黃,,き,#調和,#調和,0,0
量,,はかる,#勇壮 #知性,#勇壮 #知性,0,0
証,,あきら,#信念,#信念,0,0
援,,たすく,#慈愛,#慈愛,0,0
奥,,おき,#水景,#水景,1,0
殖,,しげる,,#その他,1,0
嵯,,たかし,#調和,#調和,0,0
掌,,あきら つかさ,#信念 #品格,#信念 #品格,0,0
遂,,すえ なり みち,#飛躍,#飛躍,0,0
随,,ゆき より のり,#信念,#信念,0,0
堪,,かつみ,#勇壮,#勇壮,0,0
款,,まこと,,#その他,1,0
琴,,こと,#奏楽 #調和,#奏楽 #調和,0,0
循,,したがう,,#その他,1,0
関,,せき とお わたる,#調和,#調和,0,0
境,,さかい,#調和,#調和,0,0
棟,,むね,#品格 #飛躍,#品格 #飛躍,0,0
愉,,たのし よし,#幸福,#幸福,0,0
嵐,,あらし,#自然 #勇壮,#自然 #勇壮,0,0
淵,,ふち ひろし,#水景 #知性,#水景 #知性,0,0
稀,,まれ,#飛躍,#飛躍,0,0
萩,,はぎ,#自然,#自然,0,0
蜜,,みつ,#調和,#調和,0,0
漕,,こぐ,,#その他,1,0
禄,,よし,#幸福 #慈愛,#幸福 #慈愛,0,0
堯,,たかし,#品格 #飛躍,#品格 #飛躍,0,0
爲,,なり なる,,#その他,1,0
齊,,いつき ひとし,#調和,#調和,0,0
都,,くに さと ひろ みやこ,#品格 #色彩,#品格 #色彩,0,0
渚,,なぎさ,#水景,#水景,0,0
琢,,たく みがく,#知性 #飛躍,#知性 #飛躍,0,0
逸,,いち いつ すぐる はや はやと,#勇壮 #飛躍,#勇壮 #飛躍,0,0
遠,,おん とお とおく,,#その他,1,0
園,,sono,#幸福 #自然,#幸福 #自然,0,0
意,,おき おきつ もと よし,#信念,#信念,0,0
感,,めぐみ,#慈愛 #信念,#慈愛 #信念,0,0
漢,,くに とも,#勇壮,#勇壮,0,0
想,,おも おもう そ,#知性 #信念,#知性 #信念,0,0
践,,ふむ,#飛躍,#飛躍,0,0
督,,おさむ ただ まさ,#品格 #知性,#品格 #知性,0,0
鈴,,すず すずむ れい,#奏楽 #幸福,#奏楽 #幸福,0,0
楷,,かた のり,#自然,#自然,0,0
謡,,うたい,#調和,#調和,0,0
薦,,すすむ,#調和,#調和,1,0
葦,,あし,#水景,#水景,0,0
溢,,いさむ みつる,#飛躍,#飛躍,0,0
瑚,,こ ご さん,#水景 #色彩,#水景 #色彩,0,0
楯,,たて,#勇壮 #信念,#勇壮 #信念,0,0
椿,,つばき,#品格 #幸福,#品格 #幸福,0,0
蒲,,かば,#自然,#自然,1,0
縣,,あがた,,#その他,1,0
靜,,きよ きよし しず しずか,#調和,#調和,0,0
詢,,あきら さとし しゅん じゅん まこと,#信念 #品格,#信念 #品格,0,0
圓,,かず まる みつ,#幸福 #慈愛,#幸福 #慈愛,0,0
奧,,おき,#水景,#水景,1,0
傳,,つた つたう つとう,#飛躍,#飛躍,0,0
祿,,よし,#幸福 #慈愛,#幸福 #慈愛,0,0
愼,,まこと みつる,#信念,#信念,0,0
與,,あたえ あと,,#その他,1,0
勤,,いさお つとむ,#慈愛,#慈愛,0,0
溫,,あつ あつし すなお はる ゆたか,#慈愛,#慈愛,0,0
歌,,うた,#奏楽 #幸福,#奏楽 #幸福,0,0
管,,ただし つかさ,#自然,#自然,0,0
察,,あきら,#信念,#信念,0,0
種,,しげ たね,#自然 #調和,#自然 #調和,0,0
説,,とき,,#その他,1,0
禪,,しず ゆずる,#調和,#調和,0,0
綿,,わた,#幸福,#幸福,0,0
穀,,よし,#幸福,#幸福,0,0
端,,ただし まさし,#品格,#品格,0,0
徴,,あきら,,#その他,1,0
稲,,いな お しげ なり み,#自然 #飛躍,#自然 #飛躍,0,0
暦,,こよみ,#知性 #伝統,#知性 #伝統,0,0
麿,,まろ,#調和,#調和,0,0
魂,,たま,#信念,#信念,1,0
藏,,おさむ,#調和,#調和,0,0
鎭,,しず,#調和,#調和,0,0
慕,,した したう,#信念,#信念,1,0
墨,,すみ,#知性,#知性,0,0
瀧,,たき,#調和,#調和,0,0
瑠,,りゅう る,#色彩 #品格,#色彩 #品格,0,0
纂,,あつむ,,#その他,1,0
蔦,,つた,#自然,#自然,0,0
鷗,,かもめ,#調和,#調和,0,0
蔓,,つる,,#その他,1,0
緋,,あけ あか,#色彩 #品格,#色彩 #品格,0,0
綾,,あや,#色彩,#色彩,0,0
綺,,あや,#色彩 #品格,#色彩 #品格,0,0
槇,,まき,#自然,#自然,0,0
實,,さね ただ ちか なり みのる,#信念 #飛躍,#信念 #飛躍,0,0
奬,,すすむ つとむ,#慈愛,#慈愛,0,0
凡,,つね,#調和,#調和,0,0
壽,,ひさ ひさし,#幸福 #伝統,#幸福 #伝統,0,0
福,,さき さち とみ とむ よし,#幸福,#幸福,0,0
戊,,つちのえ,#調和,#調和,1,0
漢,,くに とも,#水景,#水景,1,0
曲,,こと,#調和,#調和,1,0
禎,,さだ ただし よし,#品格 #幸福,#品格 #幸福,0,0
寬,,とお とら のり ひろ ひろし ひろむ ゆたか,#慈愛 #調和,#慈愛 #調和,0,0
綠,,あき あきら つぐ みどり,#色彩,#色彩,0,0
標,,たか しるし,#自然,#自然,0,0
輪,,わ,#色彩,#色彩,0,0
確,,あきら かた たかし,#信念,#信念,0,0
質,,ただ ただし もと,#信念 #品格,#信念 #品格,0,0
権,,いさお はかる,#勇壮,#勇壮,0,0
事,,こと,#調和,#調和,0,0
潮,,うしお きよし,#水景,#水景,0,0
縁,,えん ゆかり,#調和 #飛躍,#調和 #飛躍,0,0
牧,,まき,#調和,#調和,1,0
舞,,ま まい,#奏楽 #飛躍,#奏楽 #飛躍,0,0
亭,,ちん,#調和,#調和,0,0
慰,,やす,#天空 #慈愛,#天空 #慈愛,1,0
断,,さだ ただ,,#その他,1,0
諏,,すすむ,#調和,#調和,1,0
謹,,のり,#調和,#調和,0,0
干,,もと,,#その他,1,0
片,,かた,,#その他,1,0
皿,,さら,,#その他,1,0
旧,,もと,#調和,#調和,1,0
褒,,ほめ よし,#飛躍,#飛躍,0,0
寺,,てら,,#その他,1,0
毎,,つね,#調和,#調和,1,0
駒,,こま,#勇壮 #飛躍,#勇壮 #飛躍,0,0
摯,,いたる,#品格,#品格,0,0
憧,,あきら さとし,#信念 #慈愛,#信念 #慈愛,0,0
辻,,つじ,#調和,#調和,1,0
町,,まち,#調和,#調和,1,0
坂,,さか,,#その他,1,0
槻,,つき,#自然,#自然,0,0
尾,,お,,#その他,1,0
醇,,あつ あつし よし,#品格 #信念,#品格 #信念,0,0
樟,,くす くすのき,#自然,#自然,0,0
蕃,,しげる,#自然,#自然,0,0
熙,,あきら ひろ ひろし,#飛躍 #幸福,#飛躍 #幸福,0,0
廣,,ひろ ひろし,#品格 #飛躍,#品格 #飛躍,0,0
穀,,よし,,#その他,1,0
節,,たかし よし,#品格 #信念,#品格 #信念,0,0
德,,あつし さとる よし,#信念 #品格,#信念 #品格,0,0
緖,,つぐ,#伝統 #信念,#伝統 #信念,0,0
徵,,あきら,,#その他,1,0
機,,のり,,#その他,1,0
築,,きずく,,,0,0
懐,,いたる やすし,#慈愛 #調和,#慈愛 #調和,0,0
儒,,みつ,,#その他,1,0
専,,あつ,#信念 #知性,#信念 #知性,0,0
緻,,おさむ,,#その他,1,0
燕,,つばめ,#勇壮,#勇壮,0,0
錫,,すず,#幸福 #慈愛,#幸福 #慈愛,0,0
輯,,あつむ,#慈愛,#慈愛,0,0
黛,,まゆ まゆずみ,#自然,#自然,1,0
燈,,とも,#天空,#天空,0,0
曉,,あき あきら あけ さと さとし さとる とき,#知性,#知性,0,0
勳,,いさお いさむ つとむ,#飛躍,#飛躍,0,0
衞,,まもる えい,#勇壮,#勇壮,0,0
賴,,あきら より,#幸福,#幸福,0,0
曆,,こよみ,#伝統 #知性,#伝統 #知性,0,0
秩,,つね,#調和,#調和,1,0
聴,,あきら さとる ゆる,#知性 #調和,#知性 #調和,0,0
謹,,のり,#信念 #品格,#信念 #品格,0,0
懇,,ねんごろ,#信念,#信念,1,0
祭,,まつり,#調和,#調和,1,0
寄,,より,#調和,#調和,1,0
採,,とる,#調和,#調和,1,0
設,,なり,#調和,#調和,1,0
霞,,かすみ,#天空,#天空,0,0
略,,おさむ,#調和,#調和,1,0
探,,さぐ,#調和,#調和,0,0
寂,,しずか,#調和,#調和,1,0
添,,そえ,,#その他,1,0
勘,,さだ さだのり なり,,#その他,1,0
穗,,ほ,#自然 #飛躍,#自然 #飛躍,0,0
埴,,はに,,#その他,1,0
繁,,しげ しげる,#自然 #飛躍,#自然 #飛躍,0,0
薰,,かおる しげ すすむ つとむ てる のぶ まさ ゆき,#色彩 #自然,#色彩 #自然,0,0
鍊,,ねり,#勇壮 #知性,#勇壮 #知性,0,0
捧,,ささぐ,,#その他,1,0
簡,,あきら,,#その他,1,0
臨,,のぞむ りん,#品格 #信念,#品格 #信念,0,0
瞬,,しゅん またたき,#希望 #飛躍,#希望 #飛躍,0,0
営,,あきら,,#その他,1,0
復,,また,,#その他,1,0
繭,,まゆ,#自然 #伝統,#自然 #伝統,0,0
報,,つぐ,,#その他,1,0
就,,なり なる,,#その他,1,0
塚,,つか,,#その他,1,0
璧,,たま,#品格 #色彩,#品格 #色彩,0,0
藍,,あい らん,#自然 #色彩,#自然 #色彩,0,0
猶,,なお,,#その他,1,0
堺,,さかい,,#その他,1,0
鯉,,こい,#水景 #勇壮,#水景 #勇壮,0,0
霧,,きり,#水景 #天空,#水景 #天空,0,0
鯨,,たけ,#勇壮 #自然,#勇壮 #自然,0,0
瀬,,せ,#水景,#水景,0,0
覇,,は,#品格 #飛躍,#品格 #飛躍,0,0
鴨,,かも,,#その他,1,0
麒,,き,#勇壮 #品格,#勇壮 #品格,0,0
蘇,,いき,#自然 #飛躍,#自然 #飛躍,0,0
覧,,み みる,,#その他,1,0
瀨,,せ,#水景,#水景,0,0
纏,,まとい,,,0,0
饗,,あきら,,#その他,1,0
騰,,あがる のぼる,#飛躍 #勇壮,#飛躍 #勇壮,0,0
嚴,,いつき たかし,#品格 #信念,#品格 #信念,0,0
灘,,なだ,#水景 #勇壮,#水景 #勇壮,0,0
聽,,あきら さとる,#知性 #調和,#知性 #調和,0,0
穰,,みのる ゆたか,#自然 #飛躍,#自然 #飛躍,0,0
響,,ひびき,#奏楽 #調和,#奏楽 #調和,0,0
鷲,,わし,#勇壮 #天空,#勇壮 #天空,0,0
巖,,いわ いわお,#自然 #勇壮,#自然 #勇壮,0,0
顯,,あきら,#知性 #品格,#知性 #品格,0,0
麟,,あきら りん,#品格 #伝統,#品格 #伝統,0,0
鷺,,さぎ,,#その他,1,0
讓,,ゆずる,#慈愛 #品格,#慈愛 #品格,0,0
