漢字,伝統名のり,分類,補完元の伝統名のり
斡,まる,#その他,（なし）
慰,やす,#天空 #慈愛,やす
椅,あづ あづさ よし,#その他,（なし）
井,きよ,#その他,い
員,さだ,#調和,（なし）
迂,すすむ とお ゆき,#その他,（なし）
閏,うる,#その他,（なし）
云,おき これ とも ひと,#調和,（なし）
営,あきら,#その他,あきら
謁,つく ゆく,#その他,（なし）
艶,え よし,#その他,（なし）
薗,え,#調和,その
遠,おん とお とおく,#その他,おん、とお、とおく
奥,おき,#水景,おき
翁,おい おき とし ひと,#調和,（なし）
億,かず はかる やす やすし,#信念,（なし）
化,のり,#その他,（なし）
稼,たか たね,#その他,（なし）
箇,かず とも,#その他,（なし）
皆,とも み みち,#調和,（なし）
該,かぬ かね,#その他,（なし）
鎧,が,#その他,よろい
郭,ひろ ひろし,#その他,（なし）
恰,きょう こ,#調和,（なし）
葛,かず かつ かつら かど さち ずら つた つら ふじ,#その他,かつ、かずら
蒲,かば,#自然,かば
鎌,かね,#その他,（なし）
鴨,かも,#その他,かも
萱,ただ まさ,#自然,かや
勘,さだ さだのり なり,#その他,さだ、さだのり、なり
干,もと,#その他,もと
慣,なれ,#その他,なれ
款,まこと,#その他,まこと
漢,くに とも,#水景,くに、とも
簡,あきら,#その他,あきら
雁,か,#その他,かり
嬉,よし,#幸福,（なし）
寄,より,#調和,より
岐,みち,#調和,（なし）
機,のり,#その他,のり
議,かた さだむ のり,#その他,（なし）
及,いたる つぎ つぐ,#その他,いたる、つぎ、つぐ
旧,もと,#調和,もと
去,なる,#その他,（なし）
挙,しげ すすむ たか たつ ひら みな,#調和,（なし）
許,すすむ ゆく,#調和,もと、ゆるす
魚,いお お な,#調和,いな
競,きそう つよし,#その他,（なし）
蕎,そ,#その他,（なし）
饗,あきら,#その他,あきら
業,なり のり,#その他,（なし）
曲,こと,#調和,こと
具,とも,#調和,（なし）
釧,くしろ,#その他,くしろ
群,とも もと,#その他,（なし）
係,たえ,#調和,（なし）
兄,あに せ,#その他,あに、せ
憩,やす,#その他,やすみ
計,かず かずい かずえ かずお かずし,#知性,（なし）
警,さとし ただし,#その他,（なし）
軽,かる とし,#その他,（なし）
懸,かける,#その他,（なし）
牽,くる とき とし ひき,#その他,（なし）
犬,いぬ,#その他,いぬ
呉,くに,#調和,（なし）
勾,にお まがり,#調和,（なし）
庚,か つぐ みちる やす,#その他,（なし）
攻,おさむ,#飛躍,（なし）
肯,さき むね,#その他,（なし）
鉱,かね ひろ ひろし,#その他,（なし）
轟,こう,#その他,くるま
穀,よし,#その他,よし
酷,あつ,#その他,（なし）
此,この,#その他,（なし）
懇,ねんごろ,#信念,ねんごろ
魂,たま,#信念,たま
採,とる,#調和,とる
祭,まつり,#調和,まつり
坂,さか,#その他,さか
堺,さかい,#その他,さかい
鷺,さぎ,#その他,さぎ
刷,きよ,#その他,（なし）
雑,かず とも,#その他,（なし）
皿,さら,#その他,さら
産,ただ むすび,#その他,（なし）
算,とも はかる,#その他,かず
纂,あつむ,#その他,あつむ
氏,うじ,#その他,うじ
視,み みる,#その他,み、みる
視,のり み みる よし,#調和,み、みる
試,もち,#その他,（なし）
誌,ふみ,#その他,（なし）
歯,かた とし,#その他,（なし）
寺,てら,#その他,てら
爾,あきら ちか ちかし み みつる,#その他,（なし）
而,しか なお ゆき,#調和,（なし）
耳,み,#その他,（なし）
柴,しば,#自然,しば
寂,しずか,#調和,しずか
手,た て,#その他,た、て
酒,み,#調和,（なし）
首,おびと かみ さき はじめ,#品格,（なし）
儒,みつ,#その他,みつ
需,まち みつ もと もとむ もとめ,#その他,（なし）
就,なり なる,#その他,なり、なる
衆,あつむ とも ひろ もり もろ,#その他,（なし）
蹴,ける,#その他,（なし）
酬,あつ,#品格,（なし）
従,より,#その他,より
銃,かね,#その他,（なし）
叔,すえ はじめ よし,#その他,（なし）
祝,いわい はじめ のり,#その他,いわい、はじめ、のり
術,みち,#知性,みち
循,したがう,#その他,したがう
処,すみ なり,#その他,すみ、なり
庶,もる もろ,#飛躍,もる、もろ
諸,つら もり,#その他,もろ
除,きよ さる のき,#その他,（なし）
庄,まさ,#調和,（なし）
肖,あえ あゆ あれ すえ たか のり ゆき,#調和,あやか、たかし
衝,つぎ みち,#その他,（なし）
蒸,すすむ つぐ つまき,#その他,（なし）
埴,はに,#その他,はに
殖,しげる,#その他,しげる
食,あき あきら うけ くら け みけ,#その他,（なし）
審,あき あきら,#その他,あきら
神,かみ こう しん,#その他,かみ、こう、しん
薪,し たき,#調和,（なし）
震,おと なり なる のぶ,#その他,（なし）
諏,すすむ,#調和,すすむ
逗,すみ,#その他,（なし）
吹,かぜ ふき ふく,#その他,（なし）
推,すすむ,#知性,すすむ
数,のり ひら や,#その他,kazu
雀,す すず わか,#その他,（なし）
畝,せ,#調和,せ
是,すなお ただし つな ゆき よし,#品格,（なし）
請,うけ もとむ,#その他,（なし）
逝,ゆき,#その他,（なし）
隻,うく たか,#調和,（なし）
切,きり,#その他,きり
設,なり,#調和,なり
説,とき,#その他,とき
占,うら,#知性,うら
潜,すみ ひそみ ひそむ,#その他,（なし）
薦,すすむ,#調和,すすむ
銑,さね てつ,#その他,（なし）
繕,おさむ つよし よし,#その他,（なし）
叢,しげ むら,#その他,（なし）
宋,おき くに,#調和,（なし）
槍,しょう,#その他,（なし）
漕,こぐ,#その他,こぐ
窓,まど,#調和,まど
贈,たま ます,#その他,（なし）
測,ひろ ひろし,#信念,はかる
卒,たか,#その他,（なし）
其,その とき もと,#調和,（なし）
孫,まご,#自然,まご
他,ひと,#その他,（なし）
体,なり み みる もと,#その他,なり
耐,しのぶ たゆる つよし とう とおる,#その他,（なし）
退,のく,#その他,（なし）
黛,まゆ まゆずみ,#自然,まゆ、まゆずみ
托,ひろ もり,#調和,（なし）
単,いち ただ,#その他,（なし）
坦,たいら ひと ひろ,#その他,あきら、たいら、ひろし
断,さだ ただ,#その他,さだ、ただ
値,あき あきら,#その他,（なし）
蓄,おき,#その他,（なし）
秩,つね,#調和,つね
鋳,い,#その他,（なし）
猪,い いの,#その他,い、いの
猪,い いの,#その他,い、いの
著,あき あきら しげ つぐ,#その他,あき、あきら、しげ、つぐ
張,つよ とも はる,#調和,はる
彫,えみ ほる,#調和,えみ、ほる
徴,あきら,#その他,あきら
町,まち,#調和,まち
眺,ながむ,#自然,ながむ
脹,はる,#その他,（なし）
鳥,と,#調和,（なし）
塚,つか,#その他,つか
辻,つじ,#調和,つじ
停,とどむ,#その他,（なし）
堤,つつみ,#その他,つつみ
摘,つみ つむ づみ づむ,#その他,（なし）
添,そえ,#その他,そえ
転,ひろ,#その他,（なし）
嶋,と,#水景,しま
答,さと とし とみ とも のり,#その他,（なし）
筒,まる,#自然,つつ
頭,あき あきら はじめ,#その他,（なし）
動,いつ,#調和,いさみ、すすむ
銅,かね,#その他,（なし）
匿,のく,#その他,（なし）
薙,なぎ,#調和,なぎ
捺,とし,#その他,なつ
馴,すなお よし,#品格,（なし）
弐,すけ,#調和,（なし）
入,い いり しお,#その他,い、いり、しお
祢,ね,#品格,ね
濃,あつ あつし,#調和,（なし）
農,あつ あつし たか たみ つとむ とき とよ みのり みのる,#その他,（なし）
播,はん ひろ まき,#その他,（なし）
背,しろ のり,#その他,（なし）
配,あつ とも,#調和,（なし）
迫,とお,#その他,（なし）
箸,あき あきら つく,#その他,（なし）
半,なか なからい,#幸福,（なし）
班,つら なか ひとし,#その他,（なし）
肥,うま くま とし とみ とも ふとる みつ ゆたか,#幸福 #飛躍,（なし）
被,かず けさ まつ,#その他,（なし）
尾,お,#その他,お
琵,ひ,#その他,（なし）
畢,あきら,#幸福,あきら
豹,はだら,#調和,（なし）
父,たか のり,#その他,たか、のり
赴,はや ゆき,#その他,（なし）
阜,あつ あつし たか たかし とおる ゆたか,#飛躍,
撫,やす よし,#その他,（なし）
蕪,しげ しげる,#その他,（なし）
部,きつ もと,#その他,（なし）
副,すえ すけ つぎ ます,#調和,つぎ
復,また,#その他,また
丙,あき あきら え,#その他,（なし）
蔽,さだむ,#その他,（なし）
別,のぶ わき,#その他,（なし）
片,かた,#その他,かた
編,あみ よし,#その他,（なし）
圃,その,#自然,（なし）
補,さだ すけ たすく,#その他,（なし）
慕,した したう,#信念,した、したう
戊,つちのえ,#調和,つちのえ
倣,より,#その他,（なし）
報,つぐ,#その他,つぐ
捧,ささぐ,#その他,ささぐ
鋒,さき,#その他,（なし）
謀,こと のぶ,#その他,（なし）
貌,かた すがた とお,#その他,（なし）
卜,うら,#その他,うら
牧,まき,#調和,まき
堀,ほり,#その他,ほり
幌,あき あきら,#水景 #飛躍,（なし）
毎,つね,#調和,つね
蔓,つる,#その他,つる
毛,あつ,#その他,（なし）
夜,やす,#調和,（なし）
猶,なお,#その他,なお
邑,さと さとし すみ,#調和,むら
輿,お よ,#その他,（なし）
用,ちか もち,#知性,もち
淀,よど,#その他,よど
覧,み みる,#その他,み、みる
離,あき あきら つら,#その他,（なし）
略,おさむ,#調和,おさむ
劉,のぶ みずち,#調和,（なし）
留,たね と とめ ひさ,#調和,とめ
僚,あきら,#色彩 #調和,つかさ、とも、りょう
隣,さと ただ ちか ちかし なが,#調和,（なし）
類,とも なお なし より,#その他,（なし）
冷,すずし,#調和,（なし）
零,しずく,#水景,（なし）
齢,なか よ,#その他,（なし）
憐,れ,#慈愛,（なし）
楼,ろ,#その他,たか
麓,ろ,#その他,（なし）
録,とし ふみ,#知性,（なし）
論,さだむ さとし さとる とき のり ゆう,#その他,（なし）
乘,のり,#その他,（なし）
兒,こ,#その他,こ
刹,くに,#知性,
奧,おき,#水景,おき
恆,つね ひさ,#その他,つね、ひさ
曖,あ,#その他,（なし）
鬱,しげる,#その他,（なし）
爲,なり なる,#その他,なり、なる
箋,ふみ,#その他,（なし）
緻,おさむ,#その他,おさむ
縣,あがた,#その他,あがた
與,あたえ あと,#その他,あたえ、あと
諧,かのう ゆき,#その他,かず、とも
徵,あきら,#その他,あきら
涉,わたる,#その他,わたる